SNr;WallId;DateOfAction;TotalPosts;TotalComments;TotalLikes;TotalSharers;TotalCommentLikes;TotalCommentReplies;TotalCommentReplyLikes;PostsbyAdmin;CommentsbyAdmin;LikesByAdmin;LikesOnAdminPosts;CommentsOnAdminPosts;LikesOnAdminComments;NonAdminPosts;NonAdminComments;LikesOnNonAdminPosts;LikesOnNonAdminComments;NonAdminCommentLikes;TotalUniqueActors;totaluniquePosters;TotalUniqueCommenters;TotalUniqueLikers;TotalUniqueCommentLikers;TotalUniqueCommentRepliers;TotalUniqueCommentReplyLikers
45;612861008745063;2015-08-12;5;43;26;9;7;14;3;1;11;0;249;20;0;40;32;26;7;1;79;41;31;20;2;2;3
46;612861008745063;2015-08-13;4;4;65;1;1;1;1;2;3;0;134;7;0;15;1;65;1;1;74;15;2;59;1;1;1
47;612861008745063;2015-08-14;2;7;26;4;0;2;0;2;5;1;464;8;0;14;2;26;0;0;33;13;3;23;0;1;0
48;612861008745063;2015-08-15;2;9;32;7;0;3;2;2;8;1;990;51;0;36;1;32;0;0;62;34;2;28;0;2;2
49;612861008745063;2015-08-16;2;29;9;0;0;7;2;2;18;2;1263;23;0;41;11;9;0;0;44;38;9;3;0;5;2
50;612861008745063;2015-08-17;3;133;26;39;7;29;1;1;43;4;39;30;0;49;90;26;7;7;118;50;68;24;7;13;1
51;612861008745063;2015-08-18;1;130;240;6;1;46;13;3;44;1;315;10;0;67;86;240;1;1;361;64;75;233;1;23;10
52;612861008745063;2015-08-19;3;128;25;38;6;48;13;2;42;3;421;35;0;53;86;25;6;6;137;50;76;20;5;21;10
53;612861008745063;2015-08-20;3;202;88;10;54;124;91;1;49;0;74;141;0;57;153;14;54;54;376;52;143;85;50;74;50
54;612861008745063;2015-08-22;1;29;17;0;0;20;4;1;22;3;102;26;0;33;7;17;0;0;47;32;8;11;0;8;3
55;612861008745063;2015-08-23;1;84;48;10;5;1;9;1;43;2;1020;55;0;68;41;48;5;5;96;64;27;23;2;1;9
56;612861008745063;2015-08-24;3;22;448;27;3;23;1;1;11;1;428;1;0;44;11;20;3;3;489;45;9;440;3;8;1
57;612861008745063;2015-08-25;2;55;1501;11;0;25;4;1;27;5;258;7;0;54;28;1501;0;0;1076;52;27;1009;0;11;3
58;612861008745063;2015-08-26;3;33;1498;2;1;33;12;1;14;1;30;41;0;51;19;1498;1;1;1554;51;17;1487;1;25;9
59;612861008745063;2015-08-27;4;26;69;6;18;5;5;1;18;1;39;12;0;45;8;30;18;18;99;44;9;55;17;4;5
60;612861008745063;2015-08-28;2;1;267;33;3;2;1;1;1;1;242;88;0;52;1;25;3;3;315;52;1;264;3;2;1
61;612861008745063;2015-08-29;1;9;14;1;0;17;2;1;4;1;231;39;0;29;5;14;0;0;44;29;5;14;0;8;2
62;612861008745063;2015-08-30;2;28;16;28;0;18;8;1;14;2;860;2;0;38;14;16;0;0;67;37;13;16;0;11;6
63;612861008745063;2015-08-31;2;46;27;2;0;2;16;4;22;1;553;27;0;42;24;27;0;0;74;42;20;27;0;1;14
64;612861008745063;2015-09-01;4;58;124;9;0;14;1;1;36;0;107;11;0;78;22;17;0;0;201;76;19;122;0;8;1
65;612861008745063;2015-09-02;5;14;59;1;12;1;1;1;8;2;146;17;0;74;6;59;12;12;110;67;6;47;12;1;1
66;612861008745063;2015-09-03;3;63;95;3;70;35;61;1;29;0;41;12;0;56;34;95;70;70;177;55;27;91;69;14;26
67;612861008745063;2015-09-04;2;189;268;24;30;72;11;2;24;1;144;11;0;85;165;124;30;30;483;84;136;263;21;29;10
68;612861008745063;2015-09-05;1;40;40;0;0;9;11;1;22;2;228;2;0;58;18;40;0;0;91;57;15;31;0;7;10
69;612861008745063;2015-09-07;3;21;501;113;4;18;3;1;13;1;445;48;0;67;8;56;4;4;555;66;8;490;4;10;3
70;612861008745063;2015-09-08;1;31;37;10;1;38;7;1;15;1;3504;6;0;44;16;37;1;1;82;41;13;31;1;17;6
71;612861008745063;2015-09-09;3;20;39;9;43;10;1;1;12;3;41;136;0;65;8;39;43;43;97;62;9;34;43;5;1
72;612861008745063;2015-09-10;1;115;384;75;20;129;18;1;34;2;1212;45;0;126;81;384;20;11;585;114;69;378;11;59;16
73;612861008745063;2015-09-11;1;30;195;7;7;4;1;1;16;2;127;22;0;71;14;68;7;7;256;67;15;189;7;3;1
74;612861008745063;2015-09-12;1;31;34;20;0;17;4;2;14;2;1393;4;0;45;17;34;0;0;67;43;12;24;0;5;3
75;612861008745063;2015-09-14;1;23;2100;241;0;22;3;1;9;1;2027;5;0;74;14;73;0;0;2137;74;13;2063;0;3;1
76;612861008745063;2015-09-15;3;24;263;4;1;15;5;1;17;1;51;2;0;58;7;212;1;1;303;57;8;241;1;10;5
77;612861008745063;2015-09-16;2;65;467;15;11;1;1;1;12;2;46;41;0;47;53;421;11;11;387;44;51;291;10;1;1
78;612861008745063;2015-09-17;2;58;709;84;0;48;21;1;19;0;652;21;0;78;39;57;0;0;772;66;38;672;0;25;20
79;612861008745063;2015-09-18;3;44;11808;1129;0;25;1;1;23;1;11541;50;0;87;21;267;0;0;11848;81;19;11759;0;11;1
80;612861008745063;2015-09-19;1;167;49;1;127;70;10;1;1;2;3205;167;0;54;167;49;127;59;68;47;161;24;60;62;6
81;612861008745063;2015-09-21;1;17;313;44;71;42;11;1;7;2;58;1;0;69;10;255;71;32;349;66;5;289;22;14;9
82;612861008745063;2015-09-22;1;21;84;6;0;5;1;1;15;0;50;24;0;49;6;34;0;0;129;50;5;83;0;3;1
83;612861008745063;2015-09-23;1;6;944;90;23;12;13;1;5;0;737;49;0;43;1;207;23;2;995;41;2;944;3;8;12
84;612861008745063;2015-09-24;1;12;55;0;0;6;2;1;8;1;168;3;0;51;4;55;0;0;98;47;5;53;0;5;2
85;612861008745063;2015-09-25;1;9;112;3;5;2;1;1;1;1;52;8;0;70;8;60;5;5;169;62;9;110;5;2;1
86;612861008745063;2015-09-26;1;13;4;2;0;2;0;1;11;0;87;25;0;38;2;4;0;0;41;35;3;4;0;2;0
87;612861008745063;2015-09-27;1;15;26;0;0;2;1;1;1;4;1227;15;0;30;15;26;0;0;54;29;15;26;0;2;1
88;612861008745063;2015-09-28;3;18;96;2;60;1;1;1;2;0;41;14;0;41;16;55;60;59;125;40;16;88;60;1;1
89;612861008745063;2015-09-29;3;4;69;6;106;6;8;1;3;1;35;74;0;47;1;34;106;74;111;45;2;68;20;5;7
90;612861008745063;2015-09-30;1;2;534;35;2;1;22;1;1;1;483;1;0;40;1;51;2;2;567;41;2;531;2;1;14
91;612861008745063;2015-10-02;2;40;1642;42;0;59;18;1;6;1;1488;32;0;33;34;154;0;0;1705;34;33;1639;0;24;12
92;612861008745063;2015-10-03;1;5;30;4;21;5;0;2;2;1;77;5;0;31;3;30;21;17;56;31;4;27;18;2;0
93;612861008745063;2015-10-05;4;7;112;0;6;6;3;1;1;1;2515;4;0;41;6;112;6;6;145;38;7;110;6;5;3
94;612861008745063;2015-10-06;1;15;131;10;0;1;1;1;2;5;71;13;0;36;13;60;0;0;162;36;14;127;0;1;1
95;612861008745063;2015-10-07;3;4;734;148;5;3;3;2;1;3;688;34;0;56;3;46;5;5;775;52;3;723;2;2;3
96;612861008745063;2015-10-08;1;3;77;4;0;1;1;1;2;1;61;3;0;47;3;77;0;0;116;44;3;73;0;1;1
97;612861008745063;2015-10-09;3;3;1149;28;0;4;1;1;2;2;925;14;0;56;1;224;0;0;1194;53;2;1144;0;4;1
98;612861008745063;2015-10-10;1;5;82;1;0;15;3;1;3;5;137;9;0;38;2;82;0;0;117;36;3;79;0;7;3
99;612861008745063;2015-10-11;2;2;45;0;0;3;1;2;1;3;19;2;0;29;2;45;0;0;56;27;2;31;0;3;1
100;612861008745063;2015-10-12;1;21;99;1;12;3;3;1;1;2;167;20;0;52;20;99;12;12;128;50;18;82;7;2;2
101;612861008745063;2015-10-16;1;182;2810;398;6;8;1;4;1;4;2810;182;0;77;182;199;6;6;1289;1;85;1218;2;4;1
102;612861008745063;2015-10-19;1;259;3106;74;30;46;72;2;3;1;1022;96;0;15;259;2084;30;30;1645;13;118;1558;14;15;24
103;612861008745063;2015-10-20;1;140;4492;802;16;16;11;2;7;0;4492;140;0;40;140;74;16;16;2302;1;69;2246;8;8;11
104;612861008745063;2015-10-21;2;504;3478;538;488;130;52;2;1;4;3478;504;0;58;504;190;488;488;2119;1;223;1739;175;51;22
105;612861008745063;2015-10-22;1;68;1810;230;4;12;2;2;2;1;1810;68;0;168;68;704;4;4;937;1;33;905;2;6;1
106;612861008745063;2015-10-23;3;1265;82346;16780;426;362;156;6;4;1;82090;1244;0;61;1265;256;426;426;41406;28;616;40764;202;157;61
107;612861008745063;2015-10-27;2;326;7918;490;46;34;17;4;3;0;2942;140;0;22;326;4976;46;46;3926;19;154;3823;8;15;9
108;612861008745063;2015-10-28;3;174;4056;682;10;12;10;2;3;1;4056;174;0;25;174;40;10;10;2097;1;83;2028;3;6;2
109;612861008745063;2015-10-29;2;7;991;79;16;4;2;2;1;2;978;6;0;33;6;13;16;16;1002;33;6;970;15;4;2
110;612861008745063;2015-10-30;4;102;1426;144;10;14;1;2;0;1;1426;102;0;24;102;260;10;10;756;1;50;713;5;7;1
111;612861008745063;2015-10-31;2;255;5114;630;6;8;2;4;1;1;5102;254;0;23;255;12;6;6;2393;22;120;2291;2;4;1
112;612861008745063;2015-11-01;1;142;2324;312;0;10;0;4;1;2;2324;142;0;43;142;49;0;0;1013;1;63;964;0;5;0
113;612861008745063;2015-11-02;2;489;9633;1114;174;118;60;2;1;2;6312;380;0;24;489;3321;174;174;5158;21;240;4877;75;48;28
114;612861008745063;2015-11-03;4;218;3552;654;12;14;1;6;1;1;3552;218;0;53;218;190;12;12;1528;1;80;1459;4;6;1
115;612861008745063;2015-11-04;3;108;2168;324;10;10;11;4;2;2;2168;108;0;35;108;15;10;10;1000;1;52;954;5;4;9
116;612861008745063;2015-11-05;2;194;4811;380;8;14;5;4;3;4;2940;180;0;21;194;1871;8;8;3260;19;90;3166;4;7;3
117;612861008745063;2015-11-06;1;198;2590;488;60;16;1;4;2;4;2590;198;0;39;198;59;60;60;1234;1;76;1174;7;7;1
118;612861008745063;2015-11-07;1;284;3996;642;44;40;2;6;9;1;3996;284;0;47;284;1178;44;44;1703;1;117;1612;13;11;1
119;612861008745063;2015-11-08;1;206;2462;448;46;10;2;4;1;6;2462;206;0;51;206;646;46;46;1137;1;87;1060;16;5;1
120;612861008745063;2015-11-09;3;160;2216;220;16;8;1;2;5;3;2216;160;0;65;160;55;16;16;1165;1;66;1108;5;4;1
121;612861008745063;2015-11-10;3;426;4856;1482;58;56;6;4;3;46;4856;426;0;115;426;760;58;58;2390;1;192;2214;24;14;2
122;612861008745063;2015-11-12;2;444;13466;2858;180;70;14;6;17;5;13466;444;0;64;444;88;180;180;6350;1;202;6129;70;27;7
123;612861008745063;2015-11-13;3;130;1676;130;8;18;2;2;41;2;1676;130;0;69;130;269;8;8;906;1;63;838;4;9;1
124;612861008745063;2015-11-14;2;1422;70218;3102;1928;410;536;2;40;3;70218;1422;0;66;1422;138;1928;1928;36198;1;672;35109;834;123;156
125;612861008745063;2015-11-15;1;33;656;6;0;5;1;1;17;3;67;19;0;52;16;656;0;0;705;50;12;653;0;4;1
126;612861008745063;2015-11-16;2;114;1724;138;18;18;6;2;11;4;1724;114;0;59;114;140;18;18;917;1;52;862;5;9;4
127;612861008745063;2015-11-17;2;34;920;218;0;6;2;2;8;4;920;34;0;59;34;41;0;0;478;1;14;460;0;3;1
128;612861008745063;2015-11-18;2;104;1412;108;2;16;12;2;4;2;1412;104;0;47;104;183;2;2;762;1;48;706;1;8;6
129;612861008745063;2015-11-19;3;145;2926;216;20;19;18;4;17;1;2394;128;0;16;145;532;20;20;1715;17;72;1630;7;8;12
130;612861008745063;2015-11-20;2;454;9016;276;62;97;214;4;8;1;2282;180;0;25;454;6734;62;62;4683;21;216;4492;22;43;57
131;612861008745063;2015-11-21;1;278;4598;1166;48;24;14;6;6;1;4598;278;0;31;278;19;48;48;2135;1;122;2012;21;9;7
132;612861008745063;2015-11-23;5;360;4078;736;22;36;36;6;22;5;4078;360;0;54;360;53;22;22;1820;1;149;1663;2;18;11
